cpu_utilization,power_consumption
3.799654025,3.259
3.799654025,3.259
3.799654025,3.2966667
4.005110025,3.2966667
4.005110025,3.2966667
4.005110025,3.2776667
3.5780248999999995,3.2776667
3.5780248999999995,3.2776667
3.5780248999999995,3.3726667
3.675970275,3.3726667
3.675970275,3.3726667
3.675970275,3.3726667
3.4757337500000007,3.3726667
3.4757337500000007,3.3726667
3.4757337500000007,3.3853333
4.1398332,3.3853333
4.1398332,3.3853333
4.1398332,3.2776667
3.86515165,3.2776667
3.86515165,3.2776667
3.86515165,3.3283333
3.7809549,3.3283333
3.7809549,3.3283333
3.7809549,3.322
3.78898375,3.322
3.78898375,3.322
3.78898375,3.2653333
4.124289125000001,3.2653333
4.124289125000001,3.2653333
4.124289125000001,3.2966667
3.679365775,3.2966667
3.679365775,3.2966667
3.679365775,3.322
3.527729425,3.322
3.527729425,3.322
3.78848705,3.284
3.735267775,3.284
3.735267775,3.284
3.735267775,3.2713333
3.802274625,3.2713333
3.802274625,3.2713333
3.802274625,3.3473333
3.779535225,3.3473333
3.779535225,3.3473333
3.779535225,3.3346667
4.032119724999999,3.3346667
4.032119724999999,3.3346667
4.032119724999999,3.3093333
4.244890250000001,3.3093333
4.244890250000001,3.3093333
4.244890250000001,3.2903333
3.428390325,3.2903333
3.428390325,3.2903333
3.428390325,3.2586667
3.890452325,3.2586667
3.890452325,3.2586667
3.890452325,3.2966667
3.510469875,3.2966667
3.510469875,3.2966667
3.510469875,3.2903333
4.0785697,3.2903333
4.0785697,3.2903333
4.0785697,3.2333333
3.44160455,3.2333333
3.44160455,3.2333333
3.44160455,3.2776667
4.0723114,3.2776667
4.0723114,3.2776667
4.0723114,3.2143333
3.648293775,3.2143333
3.648293775,3.2143333
3.648293775,3.322
3.84650775,3.322
3.84650775,3.322
3.84650775,3.2713333
3.3178486249999994,3.2713333
3.3178486249999994,3.2713333
3.3178486249999994,3.2653333
4.259206925,3.2653333
4.259206925,3.2653333
4.259206925,3.3156667
3.5610873,3.3156667
3.5610873,3.3156667
3.5610873,3.3473333
3.8118078,3.3473333
3.8118078,3.3473333
3.8118078,3.2966667
3.291129725,3.2966667
3.291129725,3.2966667
3.291129725,3.3346667
4.100431575,3.3346667
4.100431575,3.3346667
4.100431575,3.3726667
3.565019825,3.3726667
3.565019825,3.3726667
3.565019825,3.3283333
4.36288715,3.3283333
4.36288715,3.3283333
4.36288715,3.341
3.7779561,3.341
3.7779561,3.341
3.7779561,3.3536667
4.133086225,3.3536667
4.133086225,3.3536667
4.133086225,3.3536667
3.4833244000000003,3.3536667
