zone_key,emission_factor_type,production_mode,datetime,value,source
GB,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
GE,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
GF,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
GH,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
GI,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
GL,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
GM,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
GN,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
GP,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
GQ,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
GS,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
GT,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
GU,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
GW,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
GY,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
HK,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
HM,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
HN,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
HT,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
ID,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
IL,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
IM,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
IN-AN,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
IN-DL,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
IN-EA,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
IN-HP,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
IN-KA,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
IN-MH,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
IN-NE,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
IN-NO,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
IN-PB,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
IN-SO,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
IN-UP,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
IN-UT,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
IN-WE,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
IN,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
IQ-KUR,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
IQ,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
IR,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
IS,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
JM,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
JO,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
JP-CB,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
JP-CG,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
JP-HKD,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
JP-HR,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
JP-KN,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
JP-KY,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
JP-ON,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
JP-SK,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
JP-TH,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
JP-TK,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
JP,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
KE,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
KG,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
KH,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
KM,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
KP,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
KR,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
KW,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
KZ,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
LA,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
LB,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
LC,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
LI,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
LK,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
LR,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
LS,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
LY,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
MA,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
MD,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
ME,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
MG,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
MK,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
ML,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
MM,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
MN,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
MQ,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
MR,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
MU,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
MW,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
MX-BC,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
MX-BCS,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
MX-CE,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
MX-NE,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
MX-NO,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
MX-NW,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
MX-OC,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
MX-OR,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
MX-PN,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
MX,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
MY-EM,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
MY-WM,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
MZ,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
NA,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
NC,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
NE,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
NG,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
NI,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
NKR,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
NO-NO1,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
NO-NO2,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
NO-NO3,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
NO-NO4,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
NO-NO5,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
NO,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
NP,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
NZ-NZA,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
NZ-NZC,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
NZ-NZST,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
NZ,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
OM,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
PA,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
PE,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
PF,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
PG,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
PH-LU,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
PH-MI,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
PH-VI,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
PH,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
PK,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
PM,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
PS,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
PW,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
PY,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
QA,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
RE,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
RS,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
RU-1,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
RU-2,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
RU-AS,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
RU-EU,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
RU-FE,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
RU-KGD,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
RU,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
RW,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
SA,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
SB,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
SD,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
SG,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
SJ,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
SL,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
