zone_key,emission_factor_type,production_mode,datetime,value,source
US-CAL-IID,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-CAL-LDWP,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-CAL-TIDC,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-CAR-CPLE,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-CAR-CPLW,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-CAR-DUK,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-CAR-SC,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-CAR-SCEG,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-CAR-YAD,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-CENT-SPA,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-FLA-GVL,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-FLA-HST,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-FLA-JEA,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-FLA-SEC,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-FLA-TAL,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-FLA-TEC,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-HI-KH,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-HI-LA,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-HI-MO,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-HI-NI,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-MIDW-LGEE,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-NW-AVA,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-NW-BPAT,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-NW-CHPD,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-NW-DOPD,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-NW-GCPD,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-NW-GRID,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-NW-IPCO,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-NW-NEVP,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-NW-PACE,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-NW-PACW,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-NW-PGE,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-NW-PSCO,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-NW-PSEI,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-NW-SCL,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-NW-TPWR,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-NW-WAUW,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-SE-SEPA,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-SW-AZPS,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-SW-EPE,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-SW-PNM,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-SW-SRP,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-SW-TEPC,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
US-SW-WALC,lifecycle,oil,9/9/2024 0:00:00,650,IPCC 2014; EIA 2020/BEIS 2021
UY,lifecycle,oil,9/9/2024 0:00:00,650,UK POST 2014
UZ,lifecycle,oil,9/9/2024 0:00:00,650,UK POST 2014
VC,lifecycle,oil,9/9/2024 0:00:00,650,UK POST 2014
VE,lifecycle,oil,9/9/2024 0:00:00,650,UK POST 2014
VI,lifecycle,oil,9/9/2024 0:00:00,650,UK POST 2014
VN-C,lifecycle,oil,9/9/2024 0:00:00,650,UK POST 2014
VN-N,lifecycle,oil,9/9/2024 0:00:00,650,UK POST 2014
VN-S,lifecycle,oil,9/9/2024 0:00:00,650,UK POST 2014
VN,lifecycle,oil,9/9/2024 0:00:00,650,UK POST 2014
VU,lifecycle,oil,9/9/2024 0:00:00,650,UK POST 2014
WS,lifecycle,oil,9/9/2024 0:00:00,650,UK POST 2014
XK,lifecycle,oil,9/9/2024 0:00:00,650,UK POST 2014
XX,lifecycle,oil,9/9/2024 0:00:00,650,UK POST 2014
YE,lifecycle,oil,9/9/2024 0:00:00,650,UK POST 2014
YT,lifecycle,oil,9/9/2024 0:00:00,650,UK POST 2014
ZA,lifecycle,oil,9/9/2024 0:00:00,650,UK POST 2014
ZM,lifecycle,oil,9/9/2024 0:00:00,650,UK POST 2014
ZW,lifecycle,oil,9/9/2024 0:00:00,650,UK POST 2014
US-CAL-CISO,lifecycle,oil,9/9/2024 0:00:00,1364.25,eGrid 2021; IPCC 2014
US-NY-NYIS,lifecycle,oil,9/9/2024 0:00:00,747.5,eGrid 2021; IPCC 2014
AD,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
AE,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
AF,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
AG,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
AL,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
AM,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
AO,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
AR,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
AU-LH,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
AU-NSW,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
AU-NT,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
AU-QLD,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
AU-SA,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
AU-TAS-CBI,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
AU-TAS-FI,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
AU-TAS-KI,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
AU-TAS,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
AU-VIC,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
AU-WA-RI,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
AU-WA,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
AU,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
AW,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
AZ,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
BA,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
BB,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
BD,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
BF,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
BH,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
BI,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
BJ,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
BN,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
BO,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
BR-CS,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
BR-N,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
BR-NE,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
BR-S,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
BR,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
BS,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
BT,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
BW,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
BY,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
BZ,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
CA-AB,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
CA-BC,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
CA-MB,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
CA-NB,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
CA-NL-LB,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
CA-NL-NF,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
CA-NS,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
CA-NT,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
CA-NU,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
CA-ON,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
CA-PE,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
CA-QC,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
CA-SK,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
CA-YT,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
CD,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
CF,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
CG,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
CH,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
CI,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
CL-CHP,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
CL-SEA,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
CL-SEM,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
CL-SEN,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
CM,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
CN,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
CO,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
CR,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
CU,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
CV,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
DJ,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
DM,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
DO,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
DZ,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
EC,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
EG,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
EH,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
ER,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
ES-CE,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
ES-ML,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
ET,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
FJ,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
FK,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
FM,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
GA,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
GB-NIR,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
GB-ORK,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
GB-ZET,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
GB,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
GE,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
GF,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
GH,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
GI,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
GL,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
GM,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
GN,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
GP,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
GQ,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
GS,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
GT,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
GU,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
GW,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
GY,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
HK,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
HM,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
HN,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
HT,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
ID,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
IL,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
IM,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
IN-AN,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
IN-DL,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
IN-EA,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
IN-HP,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
IN-KA,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
IN-MH,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
IN-NE,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
IN-NO,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
IN-PB,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
IN-SO,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
IN-UP,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
IN-UT,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
IN-WE,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
IN,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
IQ-KUR,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
IQ,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
IR,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
IS,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
JM,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
JO,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
JP-CB,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
JP-CG,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
JP-HKD,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
JP-HR,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
JP-KN,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
JP-KY,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
JP-ON,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
JP-SK,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
JP-TH,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
JP-TK,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
JP,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
KE,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
KG,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
KH,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
KM,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
KP,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
KR,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
KW,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
KZ,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
LA,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
LB,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
LC,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
LI,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
LK,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
LR,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
LS,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
LY,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
MA,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
MD,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
ME,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
MG,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
MK,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
ML,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
MM,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
MN,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
MQ,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
MR,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
MU,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
MW,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
MX-BC,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
MX-BCS,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
MX-CE,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
MX-NE,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
MX-NO,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
MX-NW,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
MX-OC,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
MX-OR,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
MX-PN,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
MX,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
MY-EM,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
MY-WM,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
MZ,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
NA,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
NC,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
NE,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
NG,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
NI,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
NKR,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
NO-NO1,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
NO-NO2,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
NO-NO3,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
NO-NO4,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
NO-NO5,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
NO,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
NP,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
NZ-NZA,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
NZ-NZC,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
NZ-NZST,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
NZ,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
OM,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
PA,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
PE,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
PF,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
PG,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
PH-LU,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
PH-MI,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
PH-VI,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
PH,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
PK,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
PM,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
PS,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
PW,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
PY,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
QA,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
RE,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
RS,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
RU-1,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
RU-2,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
RU-AS,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
RU-EU,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
RU-FE,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
RU-KGD,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
RU,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
RW,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
SA,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
SB,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
SD,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
SG,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
SJ,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
SL,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
SN,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
SO,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
SR,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
SS,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
ST,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
SV,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
SY,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
SZ,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
TD,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
TF,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
TG,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
TH,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
TJ,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
TL,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
TM,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
TN,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
TO,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
TR,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
TT,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
TW,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
TZ,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
UA-CR,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
UA,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
UG,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
US-AK-SEAPA,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
US-HI-KH,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
US-HI-LA,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
US-HI-MO,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
US-HI-NI,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
UY,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
UZ,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
VC,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
VE,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
VI,direct,oil,9/9/2024 0:00:00,406,EIA 2020/BEIS 2021
